time,roll,pitch,yaw,rp_rpm,ry_rpm,err_p,err_y,mp_rpm,my_rpm
0.04,-0.043,0.0612,-0.0026,-0.35,0.79,-23.51,45.15,-298.0,298.0
0.107,-0.0451,0.062,-0.0026,-0.35,0.79,-23.55,45.15,-631.3,631.3
0.174,-0.0454,0.058,-0.0026,-0.35,0.79,-23.32,45.15,-963.1,963.1
0.24,-0.0423,0.0488,-0.0026,-0.35,0.79,-22.8,45.15,-972.1,1293.2
0.306,-0.0565,0.0498,-0.0026,-0.35,0.79,-22.86,45.15,-1228.9,1623.9
0.372,-0.04,0.0372,-0.0026,-0.35,0.79,-22.13,45.15,-900.1,1761.1
0.439,-0.0356,0.0453,-0.0026,-0.35,0.79,-22.6,45.15,-1233.9,1765.0
0.505,-0.0449,0.072,-0.0026,-0.35,0.79,-24.13,45.15,-1564.7,1767.8
0.571,-0.0407,0.0642,-0.0026,-0.35,0.79,-23.68,45.15,-1233.9,1771.8
0.637,-0.0458,0.0527,-0.0026,-0.35,0.79,-23.02,45.15,-1047.2,1775.8
0.704,-0.0417,0.069,-0.0026,-0.35,0.79,-23.95,45.15,-1380.0,1779.4
0.77,-0.0511,0.0658,-0.0026,-0.35,0.79,-23.77,45.15,-1287.7,1783.1
0.837,-0.0464,0.0613,-0.0026,-0.35,0.79,-23.51,45.15,-1270.8,1787.1
0.904,-0.0435,0.0628,-0.0026,-0.35,0.79,-23.6,45.15,-1403.4,1790.7
0.972,-0.0433,0.0689,-0.0026,-0.35,0.79,-23.95,45.15,-1504.2,1794.2
1.037,-0.0532,0.0726,-0.0026,-0.35,0.79,-24.16,45.15,-1484.5,1798.0
1.104,-0.0517,0.068,-0.0026,-0.35,0.79,-23.9,45.15,-1345.7,1801.7
1.17,-0.0483,0.0336,-0.0026,-0.35,0.79,-21.92,45.15,-1015.0,1806.2
1.236,-0.0398,0.0399,-0.0026,-0.35,0.79,-22.28,45.15,-1347.8,1809.9
1.303,-0.0428,0.0506,-0.0026,-0.35,0.79,-22.9,45.15,-1624.9,1813.2
1.369,-0.0311,0.063,-0.0026,-0.35,0.79,-23.61,45.15,-1679.5,1816.9
1.436,-0.0376,0.0612,-0.0026,-0.35,0.79,-23.51,45.15,-1460.3,1820.2
1.502,-0.0307,0.0419,-0.0026,-0.35,0.79,-22.4,45.15,-1130.7,1824.7
1.568,-0.0366,0.0386,-0.0026,-0.35,0.79,-22.21,45.15,-1433.2,1828.1
1.634,-0.0299,0.0473,-0.0026,-0.35,0.79,-22.71,45.15,-1654.4,1831.7
1.7,-0.041,0.0539,-0.0026,-0.35,0.79,-23.09,45.15,-1642.8,1835.1
1.767,-0.0474,0.0558,-0.0026,-0.35,0.79,-23.2,45.15,-1583.2,1838.6
1.833,-0.0513,0.0526,-0.0026,-0.35,0.79,-23.01,45.15,-1508.7,1842.5
1.899,-0.0553,0.0405,-0.0026,-0.35,0.79,-22.32,45.15,-1350.5,1846.3
1.965,-0.0477,0.0478,0.0074,-0.35,0.79,-22.74,44.58,-1680.4,1793.0
2.032,-0.0456,0.0404,0.0112,-0.35,0.79,-22.31,44.36,-1468.1,1824.0
2.098,-0.0504,0.04,0.0126,-0.35,0.79,-22.29,44.28,-1598.0,1837.9
2.165,-0.0472,0.0338,0.023,-0.35,0.79,-21.93,43.68,-1510.1,1788.7
2.232,-0.0506,0.029,0.037,-0.35,0.79,-21.66,42.88,-1547.3,1763.6
2.301,-0.052,0.0139,0.0423,-0.35,0.79,-20.79,42.58,-1373.3,1805.8
2.372,-0.0375,-0.0038,0.0542,-0.35,0.79,-19.78,41.89,-1327.9,1769.1
2.442,-0.0236,-0.019,0.0686,-0.35,0.79,-18.91,41.07,-1362.9,1746.7
2.511,-0.0393,-0.0359,0.084,-0.35,0.79,-17.94,40.19,-1324.6,1731.0
2.582,-0.0473,-0.0586,0.1097,-0.35,0.79,-16.64,38.71,-1208.0,1660.2
2.653,-0.0492,-0.0673,0.1293,-0.35,0.79,-16.15,37.59,-1461.9,1674.1
2.724,-0.049,-0.0684,0.1467,-0.35,0.79,-16.08,36.6,-1592.9,1672.8
2.795,-0.0449,-0.0934,0.173,-0.35,0.79,-14.65,35.09,-1240.0,1601.2
2.863,-0.0553,-0.1148,0.1926,-0.35,0.79,-13.42,33.96,-1199.9,1613.0
2.931,-0.056,-0.1323,0.2198,-0.35,0.79,-12.42,32.41,-1270.5,1546.0
3.002,-0.0663,-0.1514,0.24,-0.35,0.79,-11.33,31.25,-1235.1,1566.6
3.072,-0.0647,-0.1782,0.2673,-0.35,0.79,-9.79,29.69,-1029.1,1495.9
3.143,-0.0798,-0.1917,0.2874,-0.35,0.79,-9.02,28.53,-1300.7,1514.9
3.214,-0.087,-0.2118,0.3147,-0.35,0.79,-7.86,26.97,-1149.4,1442.7
3.284,-0.0834,-0.2349,0.3447,-0.35,0.79,-6.54,25.25,-1049.4,1388.0
3.354,-0.0792,-0.2485,0.3757,-0.35,0.79,-5.76,23.48,-1238.0,1341.5
3.424,-0.0686,-0.2574,0.397,-0.35,0.79,-5.25,22.25,-1319.7,1370.3
3.494,-0.0602,-0.2548,0.4248,-0.35,0.79,-5.4,20.66,-1523.9,1295.4
3.565,-0.0506,-0.2748,0.4548,-0.35,0.79,-4.26,18.94,-1171.2,1235.6
3.636,-0.0519,-0.2842,0.4858,-0.35,0.79,-3.72,17.17,-1292.3,1181.1
3.706,-0.0488,-0.2802,0.5169,-0.35,0.79,-3.95,15.38,-1530.6,1126.2
3.776,-0.0487,-0.29,0.5484,-0.35,0.79,-3.38,13.58,-1287.8,1070.5
3.847,-0.0625,-0.2849,0.5697,-0.35,0.79,-3.67,12.36,-1550.9,1106.1
3.917,-0.0543,-0.2854,0.5973,-0.35,0.79,-3.65,10.78,-1467.2,1006.0
3.988,-0.0498,-0.2963,0.6273,-0.35,0.79,-3.02,9.06,-1275.0,926.9
4.058,-0.0603,-0.3033,0.6481,-0.35,0.79,-2.62,7.87,-1336.2,957.4
4.128,-0.0583,-0.306,0.6754,-0.35,0.79,-2.47,6.3,-1411.7,837.0
4.2,-0.0419,-0.3027,0.6954,-0.35,0.79,-2.65,5.16,-1514.7,862.9
4.271,-0.044,-0.3011,0.7224,-0.35,0.79,-2.75,3.61,-1495.8,723.2
4.34,-0.0504,-0.2891,0.7418,-0.35,0.79,-3.44,2.5,-1673.7,742.8
4.412,-0.0584,-0.2893,0.7689,-0.35,0.79,-3.42,0.95,-1489.2,520.5
4.482,-0.0574,-0.3388,0.7885,-0.35,0.79,-0.59,-0.18,-1139.3,573.7
4.552,-0.0651,-0.3265,0.8054,-0.35,0.79,-1.29,-1.14,-1488.4,527.1
4.621,-0.0593,-0.2958,0.8212,-0.35,0.79,-3.05,-2.05,-1837.2,444.1
4.691,-0.0649,-0.2594,0.8367,-0.35,0.79,-5.14,-2.94,-2000.0,342.9
4.761,-0.0663,-0.2575,0.8521,-0.35,0.79,-5.25,-3.82,-1681.4,241.8
4.831,-0.0725,-0.2698,0.8674,-0.35,0.79,-4.54,-4.7,-1331.9,142.6
4.901,-0.0646,-0.2632,0.8827,-0.35,0.79,-4.92,-5.58,-1647.2,37.9
4.971,-0.0624,-0.2515,0.888,-0.35,0.79,-5.59,-5.88,-1737.8,254.2
5.041,-0.0636,-0.2613,0.8996,-0.35,0.79,-5.03,-6.54,-1398.2,15.0
5.111,-0.0542,-0.2371,0.9036,-0.35,0.79,-6.41,-6.77,-1747.6,174.5
5.182,-0.0454,-0.2413,0.9047,-0.35,0.79,-6.17,-6.84,-1531.2,239.3
5.252,-0.0273,-0.2363,0.9146,-0.35,0.79,-6.46,-7.4,-1678.7,-56.3
5.321,-0.0352,-0.2468,0.9179,-0.35,0.79,-5.86,-7.59,-1428.6,88.1
5.392,-0.0244,-0.2541,0.9188,-0.35,0.79,-5.44,-7.65,-1478.0,140.3
5.462,-0.0479,-0.2672,0.9189,-0.35,0.79,-4.69,-7.65,-1365.8,159.8
5.532,-0.05,-0.2696,0.9186,-0.35,0.79,-4.55,-7.63,-1540.5,167.3
5.602,-0.055,-0.2697,0.9182,-0.35,0.79,-4.55,-7.61,-1579.6,168.4
5.672,-0.0644,-0.263,0.9177,-0.35,0.79,-4.93,-7.58,-1694.1,168.8
5.741,-0.058,-0.2675,0.9172,-0.35,0.79,-4.68,-7.55,-1522.0,168.3
5.813,-0.0677,-0.2941,0.9169,-0.35,0.79,-3.15,-7.53,-1163.2,164.6
5.883,-0.0701,-0.2955,0.9164,-0.35,0.79,-3.07,-7.51,-1513.2,167.9
5.955,-0.0739,-0.2913,0.9161,-0.35,0.79,-3.31,-7.49,-1629.6,161.1
6.026,-0.0733,-0.2726,0.9157,-0.35,0.79,-4.38,-7.47,-1854.6,160.3
6.094,-0.0689,-0.2645,0.9154,-0.35,0.79,-4.84,-7.45,-1729.6,156.3
6.163,-0.0635,-0.2651,0.9151,-0.35,0.79,-4.81,-7.43,-1605.0,152.9
6.233,-0.0567,-0.272,0.9149,-0.35,0.79,-4.41,-7.42,-1501.1,149.4
6.303,-0.061,-0.2752,0.9146,-0.35,0.79,-4.23,-7.4,-1558.3,149.3
6.372,-0.0572,-0.2789,0.9143,-0.35,0.79,-4.02,-7.38,-1549.7,148.0
6.444,-0.058,-0.2798,0.9141,-0.35,0.79,-3.97,-7.37,-1594.2,142.3
6.515,-0.0688,-0.2874,0.9139,-0.35,0.79,-3.54,-7.36,-1484.8,141.4
6.585,-0.0819,-0.2993,0.9137,-0.35,0.79,-2.85,-7.35,-1394.4,139.0
6.655,-0.0634,-0.3023,0.9135,-0.35,0.79,-2.68,-7.34,-1539.0,137.0
6.726,-0.0602,-0.313,0.9133,-0.35,0.79,-2.07,-7.33,-1401.6,136.7
6.797,-0.0675,-0.3079,0.9132,-0.35,0.79,-2.36,-7.32,-1655.6,131.9
6.866,-0.0674,-0.2907,0.913,-0.35,0.79,-3.35,-7.31,-1848.0,125.4
6.938,-0.0724,-0.2816,0.9129,-0.35,0.79,-3.86,-7.31,-1747.6,121.4
7.009,-0.0625,-0.2784,0.9128,-0.35,0.79,-4.05,-7.3,-1674.8,117.4
7.08,-0.0692,-0.268,0.9126,-0.35,0.79,-4.65,-7.29,-1789.8,114.3
7.149,-0.0767,-0.2718,0.9125,-0.35,0.79,-4.43,-7.28,-1587.0,111.2
7.219,-0.0619,-0.2763,0.9124,-0.35,0.79,-4.17,-7.28,-1573.1,107.5
7.289,-0.0554,-0.2642,0.9123,-0.35,0.79,-4.86,-7.27,-1826.4,102.7
7.36,-0.0469,-0.2622,0.9122,-0.35,0.79,-4.98,-7.26,-1695.7,100.4
7.43,-0.0357,-0.263,0.9121,-0.35,0.79,-4.93,-7.26,-1656.9,94.1
7.502,-0.0278,-0.2648,0.9121,-0.35,0.79,-4.83,-7.26,-1646.5,92.0
7.573,-0.0469,-0.2687,0.912,-0.35,0.79,-4.61,-7.25,-1612.7,90.1
7.643,-0.0572,-0.2701,0.9119,-0.35,0.79,-4.53,-7.25,-1650.7,86.5
7.713,-0.0583,-0.2683,0.9118,-0.35,0.79,-4.63,-7.24,-1702.7,80.9
7.783,-0.0694,-0.277,0.9118,-0.35,0.79,-4.13,-7.24,-1537.5,78.2
7.853,-0.0704,-0.2792,0.9117,-0.35,0.79,-4.0,-7.24,-1637.7,76.6
7.923,-0.0706,-0.2859,0.9117,-0.35,0.79,-3.62,-7.24,-1563.8,73.0
7.994,-0.0683,-0.2856,0.9117,-0.35,0.79,-3.64,-7.24,-1671.8,67.7
8.064,-0.0608,-0.2913,0.9117,-0.35,0.79,-3.31,-7.23,-1577.3,65.3
8.135,-0.0553,-0.2997,0.9116,-0.35,0.79,-2.83,-7.23,-1527.4,62.3
8.205,-0.0494,-0.301,0.9115,-0.35,0.79,-2.75,-7.23,-1634.3,61.7
8.276,-0.0443,-0.3105,0.9114,-0.35,0.79,-2.21,-7.22,-1500.4,59.0
8.347,-0.0441,-0.3122,0.9115,-0.35,0.79,-2.11,-7.22,-1618.8,52.2
8.417,-0.0488,-0.3078,0.9114,-0.35,0.79,-2.37,-7.22,-1713.1,50.0
8.487,-0.0511,-0.3114,0.9115,-0.35,0.79,-2.16,-7.22,-1593.9,44.6
8.558,-0.0494,-0.3089,0.9114,-0.35,0.79,-2.3,-7.22,-1686.5,41.6
8.63,-0.0522,-0.3144,0.9114,-0.35,0.79,-1.98,-7.22,-1565.7,38.0
8.7,-0.047,-0.3162,0.9114,-0.35,0.79,-1.88,-7.22,-1619.9,34.3
8.771,-0.0435,-0.3245,0.9113,-0.35,0.79,-1.41,-7.22,-1509.8,34.6
8.842,-0.0456,-0.3313,0.9113,-0.35,0.79,-1.02,-7.21,-1526.2,30.5
8.912,-0.0518,-0.3245,0.9113,-0.35,0.79,-1.41,-7.21,-1734.2,25.4
8.982,-0.0595,-0.3202,0.9113,-0.35,0.79,-1.65,-7.21,-1705.5,19.8
9.053,-0.0639,-0.3301,0.9113,-0.35,0.79,-1.09,-7.21,-1482.0,18.7
9.123,-0.0618,-0.3263,0.9113,-0.35,0.79,-1.3,-7.21,-1691.8,13.7
9.194,-0.0609,-0.3207,0.9113,-0.35,0.79,-1.63,-7.21,-1726.3,9.0
9.264,-0.0641,-0.3194,0.9113,-0.35,0.79,-1.7,-7.21,-1668.4,5.1
9.334,-0.0613,-0.3227,0.9112,-0.35,0.79,-1.51,-7.21,-1597.1,2.8
9.404,-0.0513,-0.3254,0.9112,-0.35,0.79,-1.36,-7.21,-1605.0,-1.8
9.475,-0.0403,-0.3239,0.9112,-0.35,0.79,-1.44,-7.21,-1667.5,-4.9
9.546,-0.0364,-0.3284,0.9112,-0.35,0.79,-1.18,-7.21,-1575.2,-9.2
9.619,-0.0363,-0.3276,0.9112,-0.35,0.79,-1.23,-7.21,-1654.9,-11.8
9.688,-0.0364,-0.3277,0.9111,-0.35,0.79,-1.22,-7.2,-1643.0,-15.7
9.758,-0.0428,-0.3204,0.9111,-0.35,0.79,-1.64,-7.2,-1758.5,-19.8
9.828,-0.0494,-0.3238,0.9111,-0.35,0.79,-1.45,-7.2,-1601.3,-24.9
9.898,-0.0484,-0.3267,0.9111,-0.35,0.79,-1.28,-7.2,-1606.3,-27.4
9.969,-0.0618,-0.331,0.9111,-0.35,0.79,-1.03,-7.2,-1580.7,-31.1
10.038,-0.0599,-0.3254,0.9111,-0.17,1.57,8.65,37.8,-1467.8,316.8
10.109,-0.06,-0.3262,0.9112,-0.17,1.57,8.69,37.79,-1348.8,668.8
10.179,-0.0646,-0.3339,0.9112,-0.17,1.57,9.13,37.79,-1195.0,1020.3
10.249,-0.0678,-0.3359,0.9111,-0.17,1.57,9.25,37.8,-1289.7,1370.7
10.319,-0.0656,-0.3305,0.9111,-0.17,1.57,8.94,37.8,-1420.3,1720.9
10.391,-0.0577,-0.3235,0.9111,-0.17,1.57,8.54,37.8,-1444.9,1782.9
10.461,-0.0567,-0.3317,0.911,-0.17,1.57,9.01,37.8,-1142.4,1785.6
10.531,-0.06,-0.3281,0.911,-0.17,1.57,8.8,37.8,-1364.7,1789.2
10.601,-0.0599,-0.3232,0.911,-0.17,1.57,8.52,37.8,-1385.3,1793.0
10.672,-0.0656,-0.317,0.911,-0.17,1.57,8.16,37.8,-1405.1,1797.1
10.743,-0.0586,-0.3026,0.9111,-0.17,1.57,7.34,37.8,-1550.1,1802.2
10.812,-0.0554,-0.3025,0.911,-0.17,1.57,7.33,37.8,-1306.4,1806.1
10.882,-0.0557,-0.2971,0.911,-0.17,1.57,7.02,37.81,-1398.6,1809.8
10.956,-0.0572,-0.2815,0.9111,-0.17,1.57,6.13,37.8,-1566.4,1814.3
11.026,-0.0512,-0.2775,0.911,-0.17,1.57,5.9,37.8,-1388.7,1818.8
11.093,-0.0551,-0.2661,0.911,-0.17,1.57,5.25,37.8,-1530.7,1823.0
11.159,-0.0526,-0.2504,0.911,-0.17,1.57,4.35,37.8,-1618.2,1827.9
11.225,-0.0667,-0.2429,0.911,-0.17,1.57,3.92,37.8,-1488.5,1831.5
11.291,-0.0659,-0.2195,0.911,-0.17,1.57,2.58,37.8,-1764.2,1836.4
11.357,-0.0558,-0.2108,0.911,-0.17,1.57,2.08,37.8,-1546.6,1840.5
11.423,-0.0639,-0.2217,0.911,-0.17,1.57,2.7,37.8,-1215.6,1843.1
11.489,-0.0667,-0.206,0.911,-0.17,1.57,1.8,37.8,-1545.8,1847.2
11.555,-0.0588,-0.2039,0.9111,-0.17,1.57,1.68,37.8,-1432.6,1850.2
11.621,-0.0698,-0.1903,0.911,-0.17,1.57,0.9,37.8,-1640.4,1854.9
11.687,-0.0643,-0.1842,0.911,-0.17,1.57,0.55,37.8,-1526.7,1858.0
11.753,-0.0535,-0.1608,0.911,-0.17,1.57,-0.79,37.81,-1817.0,1863.2
11.819,-0.0551,-0.1578,0.911,-0.17,1.57,-0.96,37.8,-1508.9,1865.9
11.886,-0.0647,-0.1411,0.911,-0.17,1.57,-1.92,37.8,-1743.4,1870.1
11.952,-0.0473,-0.1199,0.911,-0.17,1.57,-3.13,37.8,-1832.2,1874.2
12.018,-0.0407,-0.1176,0.9209,-0.17,1.57,-3.26,37.24,-1555.0,1821.4
12.088,-0.0516,-0.1187,0.9247,-0.17,1.57,-3.2,37.02,-1498.6,1851.0
12.154,-0.0673,-0.1175,0.9261,-0.17,1.57,-3.27,36.94,-1538.7,1863.2
12.22,-0.0656,-0.1043,0.9366,-0.17,1.57,-4.03,36.34,-1745.2,1813.4
12.286,-0.0506,-0.1064,0.9405,-0.17,1.57,-3.9,36.11,-1503.9,1844.1
12.352,-0.054,-0.1091,0.952,-0.17,1.57,-3.75,35.46,-1494.1,1799.7
